frame_number,original_frame_number,frame_with_full_frame
1629,15032,
1637,15041,
1639,15083,
1640,15091,
1642,15096,
1643,15109,
1644,15125,
1645,15134,
1647,15138,
1651,15143,
1660,15153,
1662,15156,
1663,15158,
1677,15174,
1678,15178,
1684,15188,
1685,15192,
1687,15195,
1688,15206,
1690,15209,
1691,15216,
1692,15238,
1693,15240,
1694,15242,
1722,15271,
1724,15275,
1725,15278,
1727,15285,
1728,15287,
1729,15328,1729
1730,15330,
1731,15338,
1732,15349,
1735,15353,
1736,15355,
1739,15363,
1740,15380,
1741,15383,
1746,15389,
1747,15392,
1748,15395,
1749,15409,
1750,15415,
1752,15447,
1754,15453,
1761,15463,
1762,15466,
1763,15469,
1770,15682,1770
1771,15686,
1772,16099,1772
1773,16128,
1776,16133,
1779,16144,
1780,16150,
1781,16298,1781
1782,16337,
1784,17119,1784
1785,17123,
1786,17126,
1788,17129,
1789,17133,
1791,17139,
1792,17141,
1798,17151,
1799,17163,
1800,17165,
1801,17366,
1804,17371,
1809,17377,
1810,17379,
