frame_number,original_frame_number,frame_with_full_frame
4252,12868,
4253,12918,4253
4264,12949,
4269,12961,
4270,12963,
4271,12965,
4272,13077,
4274,13084,
4275,13086,
4276,13088,
4278,13091,
4279,13094,
4280,13097,
4281,13104,
4282,13107,
4283,13110,
4284,13113,
4285,13118,
4286,13121,
4287,13126,
4288,13132,
4289,13138,
4290,13144,
4291,13172,
4292,13174,
4293,13177,
4295,13180,
4298,13185,
4299,13189,
4301,13194,
4303,13199,
4305,13204,4305
4307,13210,
4308,13214,
4309,13308,
4320,13427,
4321,13431,
4322,13434,
4323,13439,
4325,13443,
4327,13446,
4328,13450,
4329,13452,
4331,13456,
4333,13462,
4335,13467,
4336,13470,
4338,13477,
4339,13480,
4342,13485,
4348,13492,
4351,13496,
4371,13517,4371
4372,13519,
4393,13541,
4398,13552,
4399,13554,
4400,13559,
4402,13570,
4403,13572,
4404,13579,
4406,13584,
4408,13589,
4409,13601,
4421,13644,
4443,13718,
4444,13723,
4446,13726,
4447,13728,
4448,13730,
4450,13735,
4451,13737,
4452,13740,
4453,13742,
4458,13758,
4459,13761,
4460,13763,
4462,13766,
4464,13769,
4465,13772,
4466,13807,4466
4470,13813,
4483,13827,
4487,13832,
4492,13838,
4498,13846,
4520,13869,
4539,13889,
4541,13892,
4549,13901,
4550,13903,
4555,13911,
4556,13917,
4557,13920,
4558,13925,
4559,13927,
4561,13930,
4562,13932,
4567,13939,
4571,13945,
4574,13949,
4576,13952,
4581,13958,
4585,13963,
4587,13967,
4593,13974,
4595,13977,
4597,13981,
4601,13987,
4602,13989,
4603,13991,
4604,13993,
4608,13999,
4644,14036,
4832,14225,4832
4834,14228,
4838,14233,
4839,14236,
4840,14239,
4841,14243,
4844,14249,
4845,14252,
4847,14257,
4849,14260,
4850,14262,
4852,14267,
4855,14277,
4857,14281,
4862,14295,
4868,14335,
4870,14349,
4881,14366,
4895,14381,
4897,14386,
4901,14392,
4903,14395,
4924,14464,4924
4925,14478,
4926,14482,
4928,14487,
4929,14489,
4930,14491,
4932,14494,
4933,14505,
4934,14521,
4935,14526,
4936,14539,
4937,14542,
4938,14544,
4939,14547,
4940,14555,
4941,14566,
4942,14703,4942
4950,14792,
4955,14808,
4962,14816,
4964,14825,
4975,14848,
4980,14987,
4989,15463,4989
4997,15891,4997
5015,16196,5015
5020,16396,5020
5035,16412,
5041,16421,
5056,16455,
5058,16463,
5079,16513,5079
5091,16534,
5102,16637,
5103,16641,
5108,16647,
5110,16650,
5116,16657,
5131,16676,
5139,16685,
5140,16687,
5144,16835,5144
5146,17087,
5149,17117,5149
5151,17200,
5154,17204,
5163,17214,
5165,17217,
5169,17224,
5171,17233,
5172,17235,
5173,17237,
5174,17239,
5175,17249,
5176,17252,
5177,17259,
5178,17262,
5180,17266,
5181,17268,
5182,17278,
5183,17282,
5184,17288,
5185,17299,
5186,17316,
5188,17320,
5190,17324,
5191,17328,
5194,17333,
5210,17350,
5214,17356,
5232,17375,
5241,17385,
5243,17389,
5244,17666,5244
5256,17679,
5264,17707,5264
5288,17732,
5290,17735,
5291,17737,
5294,17742,
5295,17745,
5297,17749,
5298,17751,
5301,17755,
5306,17830,
5307,17833,
5311,17838,
5313,17841,
5317,17846,
5319,17849,
5323,17854,
5325,17857,
5326,17859,
5333,17867,
5336,17871,
5339,17875,
5340,17877,
5342,17880,
5349,17888,
5356,17896,
5358,17899,
5366,17908,
5368,17911,
5373,17917,
5376,17921,
5379,17925,
5401,17950,
5406,17957,
5407,17962,
5409,17966,
5410,17968,
5413,17972,
5415,17975,
5416,17981,
5417,17983,
5418,17987,
5419,17992,
